       16	2022-02-08 09:01:37	16	0	0	0
      129	2022-02-08 09:02:07	16	0	0	0
      160	2022-02-08 09:02:11	16	0	0	0
       38	2022-02-08 09:05:59	16	0	0	0
      156	2022-02-08 09:11:25	16	0	0	0
       31	2022-02-08 09:11:48	16	0	0	0
       73	2022-02-08 09:24:23	16	0	0	0
        4	2022-02-08 09:31:20	16	0	0	0
      218	2022-02-08 10:04:47	16	0	0	0
      210	2022-02-08 11:44:09	16	0	0	0
      204	2022-02-08 11:44:15	16	0	0	0
      215	2022-02-08 11:44:20	16	0	0	0
      213	2022-02-08 12:03:53	16	0	0	0
      208	2022-02-08 12:03:58	16	0	0	0
      214	2022-02-08 12:04:09	16	0	0	0
      216	2022-02-08 12:04:44	16	0	0	0
      207	2022-02-08 12:04:53	16	0	0	0
      186	2022-02-08 12:09:03	16	1	0	0
      211	2022-02-08 12:18:12	16	0	0	0
      205	2022-02-08 12:27:25	16	0	0	0
       81	2022-02-08 16:35:03	16	1	0	0
      207	2022-02-08 16:38:41	16	1	0	0
      208	2022-02-08 16:38:58	16	1	0	0
      213	2022-02-08 16:39:03	16	1	0	0
      206	2022-02-08 16:39:13	16	1	0	0
      204	2022-02-08 16:40:05	16	1	0	0
      205	2022-02-08 16:40:20	16	1	0	0
      210	2022-02-08 16:40:24	16	1	0	0
      215	2022-02-08 16:40:54	16	1	0	0
      214	2022-02-08 16:53:04	16	1	0	0
      209	2022-02-08 16:53:10	16	1	0	0
      211	2022-02-08 16:53:27	16	1	0	0
      202	2022-02-08 16:53:32	16	1	0	0
      212	2022-02-08 16:53:34	16	1	0	0
      203	2022-02-08 16:53:47	16	1	0	0
      216	2022-02-08 16:54:06	16	1	0	0
       78	2022-02-08 16:57:34	16	1	0	0
       78	2022-02-08 16:57:45	16	1	0	0
      151	2022-02-08 16:57:54	16	1	0	0
       92	2022-02-08 16:58:16	16	1	0	0
      151	2022-02-08 16:59:01	16	1	0	0
      158	2022-02-08 17:00:02	16	0	0	0
      158	2022-02-08 17:00:07	16	1	0	0
      125	2022-02-08 17:00:12	16	1	0	0
       14	2022-02-08 17:00:17	16	1	0	0
      180	2022-02-08 17:00:26	16	1	0	0
      218	2022-02-08 17:00:31	16	1	0	0
      218	2022-02-08 17:00:32	16	1	0	0
       69	2022-02-08 17:00:38	16	1	0	0
